ID,注意事項
1,収集がない日 2015/05/04 2015/07/20 2015/09/21 2015/10/12 2015/11/23 2016/01/11 2016/03/21
2,収集がない日 2015/05/05 2015/09/22 2015/11/03
3,収集がない日 2015/04/29 2015/09/23
4,収集がない日 2016/02/11
5,収集がない日 2015/04/29 2015/05/04 2015/09/23 2015/11/23 2016/03/21
6,収集がない日 2015/05/05 2015/09/22 2015/11/03 2016/02/11
