label,sublabel,description,styles,bgcolor
燃やさないごみ 有害ごみ,,,img/moyasanai02.svg,#733b96
プラ,,,img/shigen02.svg,#77ae1f
燃やすごみ,,,img/moyasu02.svg,#ea3b13
ビン カン 紙類 布類,,,img/bin02.svg,#2dc7aa
